area	HDI ranks	Country	hdrF2013	hdrM2013	lifeF2013	lifeM2013	meanSchoolF2002-2012	meanSchoolM2000-2012	expSchoolF2000-2012	expSchoolM2000-2012	gniF2013	gniM2013
central	149	Angola	..	..	53.4	50.4	..	..	8.7	14.0	5080	7587
central	152	Cameroon	0.468	0.537	56.2	53.9	5.1	6.7	9.5	11.2	2062	3052
central	184	Chad	0.319	0.419	52.1	50.3	0.6	2.3	5.9	8.9	1289	1953
central	140	Congo	0.543	0.585	60.2	57.4	5.5	6.7	10.9	11.3	4222	5597
central	186	DRC	0.304	0.369	51.8	48.2	2.1	4.1	8.4	10.9	390	499
central	144	Equatorial Guinea	..	..	54.6	51.7	..	..	6.9	10.0	17769	25977
central	112	Gabon	..	..	64.5	62.4	8.4	6.4	..	..	14003	19919
central	142	Sao Tome and Principe	0.524	0.586	68.3	64.3	4.0	5.5	11.4	11.2	2001	4248
east	180	Burundi	0.370	0.410	56.1	52.2	2.2	3.3	9.6	10.7	685	815
east	159	Comoros	..	..	62.3	59.5	..	..	12.3	13.2	798	2201
east	170	Djibouti	..	..	63.4	60.2	..	..	5.9	6.9	1907	4300
east	182	Eritrea	..	..	65.2	60.5	..	..	3.7	4.6	986	1309
east	173	Ethiopia	0.401	0.470	65.3	62.0	1.4	3.6	8.0	9.0	1090	1515
east	147	Kenya	0.508	0.560	63.6	59.8	5.4	7.1	10.7	11.3	1763	2554
east	155	Madagascar	0.476	0.519	66.2	63.2	4.8	5.6	10.2	10.5	1102	1566
east	174	Malawi	0.389	0.437	55.4	55.1	3.4	5.1	10.8	10.7	652	777
east	63	Mauritius	0.750	0.784	77.1	70.3	8.0	9.1	15.9	15.2	10980	22726
east	178	Mozambique	0.343	0.391	51.0	49.3	0.8	1.7	8.9	10.1	939	1086
east	151	Rwanda	0.463	0.487	65.7	62.4	3.1	3.6	10.3	10.2	1263	1550
east	71	Seychelles	..	..	78.1	69.0	9.4	9.4	12.1	11.1	..	..
east		Somalia	..	..	56.7	53.4	..	..	..	..	..	..
east		South Sudan	..	..	56.3	54.2	..	..	..	..	..	..
east	166	Sudan	..	..	63.9	60.3	2.5	3.8	..	..	1692	5153
east	159	Tanzania (United Republic of)	0.466	0.509	62.9	60.2	4.5	5.8	9.0	9.3	1501	1903
east	164	Uganda	0.456	0.509	60.4	58.0	4.3	6.4	10.6	10.9	1167	1502
east	141	Zambia	0.534	0.585	60.0	56.3	5.8	7.2	13.0	13.9	2344	3455
east	156	Zimbabwe	0.468	0.515	60.8	58.8	6.7	7.8	9.1	9.5	1124	1496
northern	93	Algeria	0.629	0.746	72.7	69.4	5.9	7.8	14.2	13.8	3695	21219
northern	110	Egypt	0.617	0.722	73.6	68.8	5.3	7.5	12.7	13.3	4225	16522
northern	55	Libya	0.749	0.805	77.3	73.5	7.5	7.5	16.4	15.9	10649	32678
northern	129	Morocco	0.545	0.658	72.7	69.1	3.2	5.6	10.6	11.6	3215	10692
northern	90	Tunisia	0.669	0.751	78.3	73.6	5.5	7.5	15.0	14.0	4751	16226
southern	109	Botswana	0.669	0.694	66.8	62.1	8.7	9.0	11.7	11.6	11491	18054
southern	162	Lesotho	0.474	0.488	49.5	49.2	6.8	4.6	11.6	10.6	2217	3395
southern	127	Namibia	0.616	0.631	67.1	61.7	6.3	6.1	11.4	11.3	7288	11196
southern	118	South Africa	..	..	58.8	54.7	9.8	10.1	..	..	8539	15233
southern	148	Swaziland	0.493	0.562	48.3	49.6	7.44	6.78	10.90	11.80	3738	7384
west	165	Benin	0.428	0.520	60.7	57.9	2.0	4.4	9.4	12.7	1455	1999
west	181	Burkina Faso	0.376	0.407	56.9	55.7	1.9	1.1	7.0	8.0	1335	1871
west	123	Cape Verde	..	..	78.8	71.1	..	..	13.6	12.9	4266	8480
west	171	Côte d'Ivoire	..	..	51.6	50.0	3.1	5.4	..	..	1866	3648
west	172	Gambia	..	..	60.2	57.5	2.0	3.6	..	..	1309	1811
west	138	Ghana	0.537	0.607	62.1	60.2	5.9	8.1	10.9	12.1	2937	4138
west	179	Guinea	0.344	0.439	56.9	55.3	0.8	2.6	7.4	10.1	913	1370
west	177	Guinea-Bissau	..	..	55.8	52.8	1.4	3.4	..	..	907	1275
west	175	Liberia	0.379	0.482	61.5	59.6	2.3	5.6	8.9	12.4	634	868
west	176	Mali	0.350	0.455	54.9	55.1	1.4	2.6	7.6	9.6	914	2076
west	161	Mauritania	0.425	0.530	63.1	60.0	2.6	4.9	8.1	8.3	1362	4592
west	187	Niger	0.275	0.385	58.6	58.3	0.8	2.1	4.8	6.1	471	1268
west	152	Nigeria	0.458	0.546	52.8	52.2	4.2	6.3	8.2	9.8	4068	6594
west	163	Senegal	0.449	0.520	64.9	61.9	3.4	5.6	7.8	8.1	1642	2717
west	183	Sierra Leone	0.329	0.412	45.8	45.3	2.0	3.8	6.1	8.4	1617	2016
west	166	Togo	0.401	0.499	57.4	55.6	3.3	6.7	8.5	11.9	998	1263
